group_reg,log10_group_reg,group,var_name,group_size,l2_norm_raw,l2_norm_normed,auc,acc,nnz
1.2328467394420658e-05,-4.909090909090909,0,CATAG6,5,0.8974685827251309,0.4013601517287572,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,1,IRSEX,2,0.09368279618201211,0.06624374046081796,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,2,NEWRACE2,7,0.5428951070360899,0.20519506303018373,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,3,IRMARIT,4,0.37072748265426647,0.18536374132713324,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,4,IREDUHIGHST2,11,1.3023251727138236,0.39266581390241323,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,5,IRWRKSTAT18,4,0.22133147407330564,0.11066573703665282,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,6,IRINSUR4,2,0.2562752176768459,0.1812139442693563,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,7,INCOME,4,0.4705189505842549,0.23525947529212746,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,8,IRPYUD5ALC,2,0.7732751189480885,0.5467880803310275,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,9,IRPYUD5MRJ,2,0.4357598568273479,0.30812874973149673,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,10,ILLYR,2,0.5305615838082818,0.37516369374791075,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,11,IRAMDEYR,2,0.6811223330400763,0.48162622051023996,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,12,RSKCIGPKD,4,0.22813315335871232,0.11406657667935616,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,13,RSKMRJWK,4,0.14540037020687438,0.07270018510343719,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,14,IRALCFY,1,0.1674620168940388,0.1674620168940388,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,15,IRMJFY,1,0.08989832917965904,0.08989832917965904,0.7766826191247705,0.7752374117932128,58
1.2328467394420658e-05,-4.909090909090909,16,KSSLR6YR,1,0.09091253282983666,0.09091253282983666,0.7766826191247705,0.7752374117932128,58
2.8480358684358048e-05,-4.545454545454545,0,CATAG6,5,0.894627489208737,0.4000895760821391,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,1,IRSEX,2,0.0932369448017386,0.06592847592642517,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,2,NEWRACE2,7,0.5204757892317377,0.19672135739103533,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,3,IRMARIT,4,0.3681166231886294,0.1840583115943147,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,4,IREDUHIGHST2,11,1.2651405528118758,0.38145422915816385,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,5,IRWRKSTAT18,4,0.21993998229294587,0.10996999114647293,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,6,IRINSUR4,2,0.2546169266988106,0.18004135547360706,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,7,INCOME,4,0.4702430075521068,0.2351215037760534,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,8,IRPYUD5ALC,2,0.7721523666653144,0.5459941745782853,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,9,IRPYUD5MRJ,2,0.43413369676153873,0.3069788809216683,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,10,ILLYR,2,0.5302735581624602,0.3749600288605947,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,11,IRAMDEYR,2,0.6802642290187125,0.4810194493377702,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,12,RSKCIGPKD,4,0.22694055235369415,0.11347027617684707,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,13,RSKMRJWK,4,0.1447317504623504,0.0723658752311752,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,14,IRALCFY,1,0.16700479087186557,0.16700479087186557,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,15,IRMJFY,1,0.08889298132252149,0.08889298132252149,0.7769354188889687,0.7749373625105822,58
2.8480358684358048e-05,-4.545454545454545,16,KSSLR6YR,1,0.09094454240059521,0.09094454240059521,0.7769354188889687,0.7749373625105822,58
6.579332246575683e-05,-4.181818181818182,0,CATAG6,5,0.8878564452843025,0.39706147318340457,0.7774685174490275,0.7753343863688332,58
6.579332246575683e-05,-4.181818181818182,1,IRSEX,2,0.09224491039943224,0.06522700167338401,0.7774685174490275,0.7753343863688332,58
6.579332246575683e-05,-4.181818181818182,2,NEWRACE2,7,0.4771875873062781,0.180359954962762,0.7774685174490275,0.7753343863688332,58
6.579332246575683e-05,-4.181818181818182,3,IRMARIT,4,0.3617874551470544,0.1808937275735272,0.7774685174490275,0.7753343863688332,58
6.579332246575683e-05,-4.181818181818182,4,IREDUHIGHST2,11,1.1855394470563656,0.3574535927319432,0.7774685174490275,0.7753343863688332,58
6.579332246575683e-05,-4.181818181818182,5,IRWRKSTAT18,4,0.21662751610465641,0.10831375805232821,0.7774685174490275,0.7753343863688332,58
6.579332246575683e-05,-4.181818181818182,6,IRINSUR4,2,0.25094082253286987,0.17744195728952225,0.7774685174490275,0.7753343863688332,58
6.579332246575683e-05,-4.181818181818182,7,INCOME,4,0.4695515087697326,0.2347757543848663,0.7774685174490275,0.7753343863688332,58
6.579332246575683e-05,-4.181818181818182,8,IRPYUD5ALC,2,0.7696731933687563,0.5442411343285524,0.7774685174490275,0.7753343863688332,58
6.579332246575683e-05,-4.181818181818182,9,IRPYUD5MRJ,2,0.4303648404266818,0.30431389704997314,0.7774685174490275,0.7753343863688332,58
6.579332246575683e-05,-4.181818181818182,10,ILLYR,2,0.529691971670302,0.37454878510814316,0.7774685174490275,0.7753343863688332,58
6.579332246575683e-05,-4.181818181818182,11,IRAMDEYR,2,0.6783674686677184,0.47967823723129643,0.7774685174490275,0.7753343863688332,58
